2025-05-26 18:16:24 | RagClient | INFO | __init__:27 | Initializing Azure RAG Client...
2025-05-26 18:16:56 | RagClient | INFO | __init__:27 | Initializing Azure RAG Client...
2025-05-26 18:17:58 | RagClient | INFO | __init__:27 | Initializing Azure RAG Client...
2025-05-26 18:19:52 | RagClient | INFO | __init__:27 | Initializing Azure RAG Client...
2025-05-26 18:20:35 | RagClient | INFO | __init__:27 | Initializing Azure RAG Client...
2025-05-26 18:21:21 | RagClient | INFO | __init__:27 | Initializing Azure RAG Client...
2025-05-26 18:22:51 | RagClient | INFO | __init__:27 | Initializing Azure RAG Client...
2025-05-26 18:23:53 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:24:27 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:25:02 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:25:43 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:26:35 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:27:42 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:28:32 | RagClient | INFO | __init__:29 | Initializing Azure RAG Client...
2025-05-26 18:29:24 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:29:59 | RagClient | INFO | interactive_mode:312 | Interactive query: 'What's the most interesting hotel name in New York?'
2025-05-26 18:29:59 | RagClient | INFO | ask:229 | Processing RAG query: 'What's the most interesting hotel name in New York?'
2025-05-26 18:29:59 | RagClient | INFO | search_documents:120 | Searching documents for query: 'What's the most interesting hotel name in New York?' (top_k=3)
2025-05-26 18:34:26 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:34:39 | RagClient | INFO | interactive_mode:315 | Interactive query: 'What's the best hotel in New York?'
2025-05-26 18:34:39 | RagClient | INFO | ask:232 | Processing RAG query: 'What's the best hotel in New York?'
2025-05-26 18:34:39 | RagClient | INFO | search_documents:120 | Searching documents for query: 'What's the best hotel in New York?' (top_k=3)
2025-05-26 18:35:07 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:35:16 | RagClient | INFO | interactive_mode:315 | Interactive query: 'What's the best hotel in New York?'
2025-05-26 18:35:16 | RagClient | INFO | ask:232 | Processing RAG query: 'What's the best hotel in New York?'
2025-05-26 18:35:16 | RagClient | INFO | search_documents:120 | Searching documents for query: 'What's the best hotel in New York?' (top_k=3)
2025-05-26 18:36:05 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:36:11 | RagClient | INFO | interactive_mode:315 | Interactive query: 'Whats the best hotel'
2025-05-26 18:36:11 | RagClient | INFO | ask:232 | Processing RAG query: 'Whats the best hotel'
